,actual,prediction
410,-5.4771876,-4.7661595
411,-5.159285,-4.43008
412,-5.0270348,-4.5299425
413,-5.0323844,-4.773538
414,-5.051788,-4.773665
415,-5.151256,-4.712134
416,-5.1461573,-4.764012
417,-5.149905,-4.771465
418,-5.123707,-4.728155
419,-5.3061447,-4.628977
420,-5.5663886,-4.7312784
421,-5.565364,-4.7729077
422,-5.0862164,-4.359185
423,-5.1069207,-4.744684
424,-5.0628753,-4.6931124
425,-5.008663,-4.6751766
426,-5.033483,-4.773536
427,-5.1114464,-4.7577195
428,-5.075201,-4.673917
429,-5.072627,-4.7686744
430,-5.492823,-4.747719
431,-5.3950944,-4.6678715
432,-5.393265,-4.691527
433,-5.4932337,-4.753867
434,-5.4877286,-4.7696
435,-4.888002,-4.279467
436,-4.9267287,-4.7628207
437,-4.6648164,-4.293867
438,-4.6616793,-4.7359877
439,-4.6649523,-4.680109
440,-4.577435,-4.382063
441,-4.57815,-4.7570376
442,-4.501545,-4.431074
443,-4.6700487,-4.6635604
444,-4.669559,-4.7610126
445,-4.740646,-4.3502364
446,-4.752575,-4.773748
447,-4.78123,-4.7672186
448,-3.704529,-3.6649902
449,-3.7044642,-4.755383
450,-3.7075486,-4.496102
451,-3.699893,-4.485828
452,-3.6655622,-4.26761
453,-3.6801662,-4.64922
454,-3.6522872,-4.293732
455,-3.6523154,-4.7680125
456,-4.530355,-4.7730765
457,-4.5334992,-4.770674
458,-4.5748715,-4.673306
459,-4.0571146,-3.888157
460,-4.132079,-4.7234516
461,-4.133494,-4.6645007
462,-4.209222,-4.766002
463,-4.1992197,-4.674332
464,-4.176195,-4.553738
465,-4.17561,-4.764875
466,-4.173099,-4.6483393
467,-4.9101653,-4.3516927
468,-4.92234,-4.7509007
469,-4.9606705,-4.7466874
470,-4.9366865,-4.715317
471,-4.93616,-4.6731915
472,-4.8015304,-4.337174
473,-4.7071757,-4.487408
474,-4.6355085,-4.4170265
475,-4.733021,-4.6077714
476,-4.6900907,-4.6050973
477,-4.6968575,-4.7705083
478,-4.7138624,-4.7737765
479,-4.7434387,-4.770251
480,-4.625388,-4.2595367
481,-4.4450464,-4.2317195
482,-3.6513708,-3.6656759
483,-3.3431783,-3.6553469
484,-3.338492,-4.398537
485,-3.3013945,-4.110046
486,-3.2949636,-4.4330688
487,-3.295021,-4.7735667
488,-3.3123207,-4.772598
489,-3.3239102,-4.3432465
490,-3.5968482,-4.5859513
491,-4.2652683,-4.327729
492,-4.30042,-4.639685
493,-4.664307,-4.730569
494,-4.4716606,-4.2223287
495,-4.4689684,-4.7587557
496,-4.440253,-4.6095805
497,-4.5293746,-4.709905
498,-4.530416,-4.5910373
499,-4.6643124,-4.7570486
500,-4.644905,-4.566754
501,-4.6013126,-4.5568023
502,-4.9909286,-4.6734157
503,-4.766572,-4.33493
504,-4.7050633,-4.4376683
505,-4.7032676,-4.7037177
506,-4.5139937,-4.2603154
507,-4.427525,-4.3599753
508,-4.456139,-4.7324834
509,-4.4940524,-4.760477
510,-4.51252,-4.7685227
511,-4.6386843,-4.7726293
512,-4.72903,-4.735171
513,-4.7458363,-4.7579036
514,-4.896364,-4.334911
515,-4.980743,-4.48163
516,-4.972144,-4.7152944
517,-4.977576,-4.7713695
518,-4.9598155,-4.7324653
519,-4.7890687,-4.3940935
520,-4.7765584,-4.6983366
521,-4.631291,-4.350923
522,-4.7969084,-4.770896
523,-4.905095,-4.741874
524,-4.894468,-4.6905303
525,-4.816065,-4.571462
526,-4.7797656,-4.628747
527,-4.9110055,-4.6939783
528,-4.752391,-4.3571053
529,-4.886509,-4.6234164
530,-4.846603,-4.671494
531,-4.8522673,-4.7564716
532,-4.6866364,-4.3286343
533,-4.677897,-4.54528
534,-4.7170835,-4.7656274
535,-4.4387827,-4.2104144
536,-4.5310435,-4.76664
537,-4.5230527,-4.584174
538,-4.541702,-4.7621064
539,-4.41061,-4.299518
540,-4.504078,-4.715777
541,-4.5257173,-4.6488843
542,-4.162357,-4.035682
543,-4.308771,-4.7361484
544,-4.2078695,-4.278229
545,-4.2152085,-4.6519103
