,actual,prediction
480,-4.625388,-4.281639
481,-4.4450464,-4.2541933
482,-3.6513708,-3.7324493
483,-3.3431783,-3.7201378
484,-3.338492,-4.3967495
485,-3.3013945,-4.146123
486,-3.2949636,-4.4251604
487,-3.295021,-4.7777596
488,-3.3123207,-4.776761
489,-3.3239102,-4.3430195
490,-3.5968482,-4.5868516
491,-4.2652683,-4.3370256
492,-4.30042,-4.6397314
493,-4.664307,-4.73343
494,-4.4716606,-4.2453914
495,-4.4689684,-4.7624903
496,-4.440253,-4.609146
497,-4.5293746,-4.712126
498,-4.530416,-4.59165
499,-4.6643124,-4.7607303
500,-4.644905,-4.567875
501,-4.6013126,-4.556576
502,-4.9909286,-4.6745067
503,-4.766572,-4.3401937
504,-4.7050633,-4.4291015
505,-4.7032676,-4.7057467
506,-4.5139937,-4.282415
507,-4.427525,-4.357257
508,-4.456139,-4.735403
509,-4.4940524,-4.764265
510,-4.51252,-4.77256
511,-4.6386843,-4.7767935
512,-4.72903,-4.7381744
513,-4.7458363,-4.761611
514,-4.896364,-4.340187
515,-4.980743,-4.4712257
516,-4.972144,-4.7176824
517,-4.977576,-4.775494
518,-4.9598155,-4.735385
519,-4.7890687,-4.3935366
520,-4.7765584,-4.700199
521,-4.631291,-4.3452387
522,-4.7969084,-4.775006
523,-4.905095,-4.7450857
524,-4.894468,-4.692151
525,-4.816065,-4.57318
526,-4.7797656,-4.628454
527,-4.9110055,-4.6957064
528,-4.752391,-4.353056
529,-4.886509,-4.622958
530,-4.846603,-4.672525
531,-4.8522673,-4.760135
532,-4.6866364,-4.3374434
533,-4.677897,-4.5434933
534,-4.7170835,-4.769575
535,-4.4387827,-4.2342234
536,-4.5310435,-4.7706184
537,-4.5230527,-4.5851746
538,-4.541702,-4.7659445
539,-4.41061,-4.317324
540,-4.504078,-4.7181797
541,-4.5257173,-4.6492147
542,-4.162357,-4.0715523
543,-4.308771,-4.7391825
544,-4.2078695,-4.2993493
545,-4.2152085,-4.652334
546,-4.1748753,-4.406455
547,-4.254576,-4.7776175
548,-4.2512126,-4.688714
549,-4.2659903,-4.777203
550,-4.7478333,-4.697254
551,-4.7538667,-4.7587056
552,-5.0898023,-4.6815767
553,-5.161128,-4.7615337
554,-4.9640646,-4.3175874
555,-4.7088547,-4.3244596
556,-4.5150967,-4.2940326
557,-4.5147843,-4.7755823
558,-4.521765,-4.733222
559,-4.5166335,-4.732313
560,-4.458974,-4.404706
561,-4.429889,-4.590028
562,-4.5612206,-4.7352753
563,-4.7290483,-4.748253
564,-4.9634175,-4.4989176
565,-4.904196,-4.6425934
566,-4.912107,-4.751913
567,-4.929182,-4.771659
568,-5.1323404,-4.7438183
569,-5.2155156,-4.7034163
570,-5.25009,-4.7779546
571,-5.2729244,-4.774864
572,-5.627155,-4.777329
573,-5.8860784,-4.7559404
574,-5.9202433,-4.762948
575,-5.8082824,-4.7324963
576,-5.666927,-4.680041
577,-5.713818,-4.7266
578,-5.634981,-4.7376842
579,-5.480075,-4.6746044
580,-5.4464192,-4.751126
581,-5.410068,-4.725586
582,-5.4242787,-4.775078
583,-5.436561,-4.7427063
584,-5.565748,-4.7735195
585,-5.602283,-4.748943
586,-5.656049,-4.7677317
587,-5.8985486,-4.7763205
588,-5.878643,-4.744507
589,-5.6945786,-4.650118
590,-5.6660147,-4.7606707
591,-5.7391047,-4.7779913
592,-5.7403536,-4.7740793
593,-5.780909,-4.766364
594,-5.796556,-4.7740846
595,-5.774438,-4.7672825
596,-5.7506604,-4.734334
597,-6.1885405,-4.777922
598,-6.149858,-4.753332
599,-6.07181,-4.7613373
600,-6.070731,-4.7738304
601,-6.066894,-4.765474
602,-5.974802,-4.7505493
603,-5.716792,-4.672794
604,-5.808397,-4.773574
605,-5.753869,-4.755435
606,-5.8066015,-4.775117
607,-5.8396187,-4.7738533
608,-5.7526455,-4.738996
609,-5.1068053,-4.3394628
610,-5.071301,-4.692123
611,-4.5651884,-4.205078
612,-4.457585,-4.341941
613,-4.4525423,-4.7259536
614,-4.432949,-4.657695
615,-4.2876043,-4.278639
616,-4.2859726,-4.72564
617,-4.355054,-4.7187557
618,-4.367098,-4.7771044
619,-4.6561823,-4.71017
620,-4.6674323,-4.3491545
621,-4.6153173,-4.5242615
622,-4.643085,-4.772312
623,-5.0045915,-4.776141
624,-4.9993873,-4.7154493
625,-5.028456,-4.7743444
626,-4.092549,-3.9235637
627,-4.098159,-4.7775164
628,-4.131195,-4.6355104
629,-4.128388,-4.495472
630,-4.06758,-4.3204737
631,-4.022031,-4.337142
632,-3.882721,-4.129091
633,-3.8658764,-4.4727783
634,-4.24622,-4.728893
635,-4.245624,-4.7722206
636,-4.19756,-4.3391366
637,-4.205019,-4.561779
638,-4.24417,-4.43276
639,-4.300589,-4.6465592
640,-4.7281446,-4.770728
641,-4.8190165,-4.7410583
642,-4.8149176,-4.717272
643,-4.8066196,-4.748401
644,-4.9043665,-4.458476
645,-4.740594,-4.3274717
646,-4.8444176,-4.7184143
647,-4.7863045,-4.492447
648,-4.746984,-4.647416
649,-4.6683154,-4.4760256
650,-4.6594934,-4.683303
651,-4.282433,-4.133292
652,-4.276048,-4.4205003
653,-4.3016033,-4.374078
654,-4.2530293,-4.3785477
655,-4.282072,-4.7282867
656,-4.2890625,-4.7047777
657,-4.329171,-4.7773123
658,-4.3417134,-4.776457
659,-4.7210855,-4.520565
660,-4.647206,-4.330536
661,-4.694403,-4.494423
662,-4.7834516,-4.608985
663,-4.7163954,-4.519496
664,-4.737904,-4.7777605
665,-4.724932,-4.733671
666,-4.71357,-4.7372904
667,-4.7674713,-4.69005
668,-5.0096126,-4.7183213
669,-5.0754814,-4.6033506
670,-5.155114,-4.7329655
671,-5.30522,-4.6976714
672,-5.304981,-4.777505
673,-5.348252,-4.777952
674,-5.0698113,-4.407982
675,-5.0146465,-4.5923386
676,-4.68977,-4.292525
677,-4.652666,-4.474468
678,-4.664047,-4.777276
679,-4.677797,-4.74988
680,-4.439006,-4.263343
681,-4.3939404,-4.5034766
682,-4.4155316,-4.520521
683,-4.428829,-4.6733627
684,-4.567377,-4.5923953
685,-4.4582086,-4.298936
686,-4.4552655,-4.7601247
687,-4.4434624,-4.6800795
688,-4.661018,-4.6868143
689,-4.706474,-4.6615067
690,-4.7859836,-4.771804
691,-4.7721987,-4.6312046
692,-4.818993,-4.7288995
693,-5.1372766,-4.561419
694,-5.1177535,-4.73038
695,-5.0660205,-4.5969877
696,-4.8340807,-4.3380604
697,-4.7733755,-4.4956465
698,-4.6661067,-4.4278917
699,-4.678287,-4.6773357
700,-4.6912103,-4.7766285
701,-4.7541614,-4.7721934
702,-4.749192,-4.714327
703,-4.7865715,-4.7123404
704,-4.7348657,-4.316067
705,-4.830178,-4.774604
706,-4.964408,-4.7267513
707,-4.9670486,-4.6828947
708,-4.9615016,-4.7649155
709,-4.7782664,-4.3731966
710,-4.7982426,-4.7743125
711,-4.7853365,-4.6738605
712,-5.1295934,-4.765814
713,-4.9729986,-4.505662
714,-4.998265,-4.7778783
715,-5.0001335,-4.686574
716,-4.9538693,-4.6696434
717,-5.1622334,-4.6696434
718,-5.066748,-4.6247807
719,-5.1162314,-4.7549105
720,-4.956747,-4.485049
721,-5.1091394,-4.7772074
722,-5.074733,-4.721585
723,-5.077994,-4.6920767
724,-4.178352,-3.9549181
725,-4.0988107,-4.2854476
726,-4.0360312,-4.2901406
727,-4.024422,-4.5976725
728,-4.020911,-4.443531
729,-4.0157347,-4.704715
730,-3.981306,-4.3429513
731,-3.9440966,-4.3294153
732,-4.3074703,-4.621943
733,-4.44381,-4.7302036
734,-4.630428,-4.7586527
735,-4.633285,-4.608407
736,-4.72657,-4.7727165
737,-4.748192,-4.776596
738,-4.8729296,-4.5819674
739,-5.247113,-4.777303
740,-5.3284764,-4.712
741,-5.3212557,-4.7227907
742,-5.3353906,-4.7730646
743,-5.535055,-4.773363
744,-5.514932,-4.758871
745,-5.4193225,-4.702635
746,-5.5785794,-4.6949096
747,-5.519653,-4.7386494
748,-5.577414,-4.749933
749,-5.6096797,-4.742149
750,-5.507545,-4.7072515
751,-5.5098205,-4.7749805
752,-5.507177,-4.7569914
753,-5.561022,-4.739029
754,-5.6188726,-4.7298813
755,-5.6884065,-4.7756643
756,-5.734436,-4.771752
757,-5.778414,-4.7612004
758,-5.87113,-4.742325
759,-5.784281,-4.742325
760,-5.356221,-4.4910803
761,-5.3983626,-4.777996
762,-5.377645,-4.7111335
763,-5.379841,-4.7776885
764,-5.3828254,-4.7744894
765,-5.3880725,-4.7659726
766,-5.4291196,-4.7779775
767,-5.4438486,-4.754421
768,-6.0895023,-4.7730618
769,-6.0728016,-4.7742186
770,-5.505404,-4.480754
771,-5.1665306,-4.448043
772,-5.1670823,-4.7752657
773,-5.1553035,-4.749197
774,-5.1408153,-4.7567925
775,-5.1529546,-4.772213
776,-5.019031,-4.5560775
777,-4.8863554,-4.497454
778,-5.0285134,-4.7737465
779,-5.232114,-4.7414627
780,-5.001297,-4.4355173
781,-4.9762692,-4.6988707
782,-4.931668,-4.660619
783,-4.907145,-4.715563
784,-5.0031157,-4.757417
785,-5.14356,-4.7258816
786,-5.137803,-4.7652044
787,-5.041952,-4.5863466
788,-5.2837496,-4.75933
789,-4.67972,-4.2322063
790,-4.691891,-4.7054763
791,-4.6105466,-4.4225354
792,-4.610523,-4.7573195
793,-4.6147714,-4.7440042
794,-4.593024,-4.670781
795,-4.6364512,-4.768333
796,-4.6410565,-4.777978
797,-4.9886127,-4.427053
798,-4.961019,-4.648418
799,-5.0307703,-4.5392485
800,-5.040753,-4.7755904
801,-4.5746765,-4.2267866
802,-4.581306,-4.7010937
803,-4.499546,-4.4043255
804,-4.498221,-4.7708797
805,-4.5710707,-4.7640657
806,-4.589808,-4.733676
807,-4.626472,-4.6901855
808,-3.9810715,-3.9003053
809,-4.0497212,-4.380269
810,-4.054118,-4.758669
811,-4.08559,-4.762524
812,-4.072491,-4.6088924
813,-4.0476704,-4.4586835
814,-4.041557,-4.6524487
815,-4.047624,-4.7708006
816,-4.9292665,-4.777958
817,-4.990145,-4.460523
818,-4.8171177,-4.3940067
819,-4.4676995,-4.224288
820,-4.4541383,-4.5371704
821,-4.3900967,-4.320244
822,-4.3001566,-4.3135633
823,-4.3006573,-4.774791
824,-4.218907,-4.323991
825,-4.219117,-4.462325
826,-4.16158,-4.282673
827,-4.318175,-4.7429852
828,-4.154722,-4.1883388
829,-4.215837,-4.657356
830,-4.139543,-4.210103
831,-4.1274815,-4.64063
832,-4.194232,-4.774272
833,-4.2175937,-4.6731014
834,-4.3317657,-4.732218
835,-4.3259454,-4.699186
836,-4.619693,-4.725172
837,-4.62343,-4.6730165
838,-5.2047954,-4.65374
839,-5.1970444,-4.630434
840,-5.138004,-4.6911955
841,-4.918912,-4.3536506
842,-4.850258,-4.566471
843,-4.8080792,-4.5851326
844,-4.743426,-4.533454
845,-4.7603602,-4.727703
846,-4.8002954,-4.7755995
847,-4.722657,-4.415834
848,-4.7410884,-4.753147
849,-4.922664,-4.7653413
850,-4.3150845,-4.052407
851,-4.21364,-4.274458
852,-4.2390833,-4.7610464
853,-4.244432,-4.775614
854,-4.220429,-4.5614014
855,-4.2352476,-4.528641
856,-4.236063,-4.760541
857,-4.232443,-4.732422
858,-4.743137,-4.761552
859,-5.2646174,-4.7764993
860,-5.274714,-4.772622
861,-5.1745825,-4.6497927
862,-5.231962,-4.6316905
863,-5.467286,-4.7527733
864,-5.0954633,-4.389208
865,-4.7962704,-4.3234725
866,-4.773573,-4.692938
867,-4.28416,-4.090062
868,-4.1496983,-4.246614
869,-4.1414533,-4.5648313
870,-4.1404257,-4.620429
871,-4.1010714,-4.3738728
872,-4.1375136,-4.7515883
873,-4.187786,-4.5964775
874,-4.023292,-4.1547074
875,-4.0264673,-4.0961533
876,-4.124524,-4.7298455
877,-4.140663,-4.740116
878,-4.1519885,-4.7432146
879,-4.0211663,-4.1491594
880,-4.014841,-4.6629505
881,-4.0256333,-4.745413
882,-4.174613,-4.5347104
883,-4.5129337,-4.770462
884,-4.440808,-4.3848953
885,-4.4445047,-4.762274
886,-4.4423285,-4.7301893
887,-5.014571,-4.7447586
888,-4.710247,-4.295
889,-4.702631,-4.71848
890,-4.7160387,-4.577855
891,-4.366998,-4.1854825
892,-4.4339113,-4.762492
893,-3.7165089,-3.778564
894,-3.6498628,-4.172424
895,-3.6419158,-4.5191507
896,-3.578534,-4.053486
897,-3.578062,-4.702545
898,-3.583823,-4.767993
899,-3.6394942,-4.7779913
900,-3.630645,-4.505803
901,-4.1374836,-4.693716
902,-4.339064,-4.735016
903,-4.376705,-4.7777104
904,-5.3161073,-4.750844
905,-5.328976,-4.7158194
906,-5.3302927,-4.769331
907,-5.281406,-4.7258377
908,-5.613858,-4.7677164
909,-5.6986837,-4.738652
910,-5.5861583,-4.673675
911,-5.472507,-4.7000284
912,-5.4647617,-4.7448792
913,-5.551093,-4.7773523
914,-5.4455895,-4.69263
915,-5.514854,-4.777996
916,-5.159265,-4.4294105
917,-5.120055,-4.680337
918,-4.99811,-4.4731736
919,-4.9532194,-4.6079087
920,-4.961375,-4.762343
921,-4.945928,-4.744032
922,-4.9859333,-4.776849
923,-4.9769244,-4.759614
924,-5.200761,-4.7754097
925,-5.196011,-4.674057
